Arquivo,Esperado,Lido,Sucesso
10-31-51_frame_003339.jpg,10:31:51,10:31:51,True
10-34-41_frame_008100.jpg,10:34:41,10:34:41,True
10-31-41_frame_003061.jpg,10:31:41,10:31:41,True
10-31-21_frame_002438.jpg,10:31:21,10:31:21,True
10-31-15_frame_002260.jpg,10:31:15,10:34:15,False
10-31-12_frame_002168.jpg,10:31:12,10:31:12,True
10-31-31_frame_002761.jpg,10:31:31,10:31:31,True
10-31-11_frame_002142.jpg,10:31:11,10:31:11,True
10-31-11_frame_002139.jpg,10:31:11,10:31:11,True
10-31-21_frame_002463.jpg,10:31:21,10:31:21,True
10-33-31_frame_006261.jpg,10:33:31,10:33:31,True
10-33-11_frame_005667.jpg,10:33:11,10:33:41,False
10-32-41_frame_004864.jpg,10:32:41,10:32:41,True
10-32-31_frame_004551.jpg,10:32:31,10:32:31,True
10-32-11_frame_003961.jpg,10:32:11,10:32:11,True
10-31-41_frame_003039.jpg,10:31:41,10:34:41,False
10-31-01_frame_001844.jpg,10:31:01,10:31:01,True
10-30-41_frame_001240.jpg,10:30:41,10:30:41,True
10-30-31_frame_000965.jpg,10:30:31,10:30:31,True
10-30-11_frame_000338.jpg,10:30:11,10:30:11,True
10-29-59_frame_000002.jpg,10:29:59,10:29:59,True
10-30-00_frame_000016.jpg,10:30:00,10:30:00,True
10-30-01_frame_000039.jpg,10:30:01,10:30:01,True
10-30-02_frame_000069.jpg,10:30:02,10:30:02,True
10-30-03_frame_000100.jpg,10:30:03,10:30:03,True
10-30-04_frame_000128.jpg,10:30:04,10:30:04,True
10-30-05_frame_000159.jpg,10:30:05,10:30:05,True
10-30-06_frame_000188.jpg,10:30:06,10:30:06,True
10-30-07_frame_000219.jpg,10:30:07,10:30:07,True
10-30-08_frame_000249.jpg,10:30:08,10:30:08,True
10-30-09_frame_000278.jpg,10:30:09,10:30:09,True
10-30-10_frame_000308.jpg,10:30:10,10:30:10,True
10-30-11_frame_000340.jpg,10:30:11,10:30:11,True
10-30-12_frame_000368.jpg,10:30:12,10:30:12,True
10-30-13_frame_000399.jpg,10:30:13,10:30:13,True
10-30-15_frame_000458.jpg,10:30:15,10:30:15,True
10-30-16_frame_000489.jpg,10:30:16,10:30:16,True
10-30-17_frame_000519.jpg,10:30:17,10:30:17,True
10-30-18_frame_000548.jpg,10:30:18,10:30:18,True
10-30-19_frame_000579.jpg,10:30:19,10:30:19,True
10-30-20_frame_000608.jpg,10:30:20,10:30:20,True
10-30-21_frame_000638.jpg,10:30:21,10:30:21,True
10-30-22_frame_000668.jpg,10:30:22,10:30:22,True
10-30-23_frame_000698.jpg,10:30:23,10:30:23,True
10-30-24_frame_000728.jpg,10:30:24,10:30:24,True
10-30-25_frame_000760.jpg,10:30:25,10:30:25,True
10-30-26_frame_000788.jpg,10:30:26,10:30:26,True
10-30-27_frame_000820.jpg,10:30:27,10:30:27,True
10-30-28_frame_000848.jpg,10:30:28,10:30:28,True
10-30-29_frame_000879.jpg,10:30:29,10:30:29,True
10-30-30_frame_000910.jpg,10:30:30,10:30:30,True
10-30-31_frame_000939.jpg,10:30:31,10:30:31,True
10-30-32_frame_000969.jpg,10:30:32,10:30:32,True
10-30-33_frame_000999.jpg,10:30:33,10:30:33,True
10-30-35_frame_001060.jpg,10:30:35,10:30:35,True
