Corte,Duração_C02,Duração_C03,Duração_C04,Diferença_Segundos,Maior,Menor
000,92.00,92.00,92.00,0.00,C02,C02
001,125.00,125.00,125.00,0.00,C02,C02
002,184.00,,184.00,0.00,C02,C02
003,98.00,98.00,98.00,0.00,C02,C02
004,107.00,107.00,107.00,0.00,C02,C02
005,139.00,139.00,139.00,0.00,C02,C02
006,124.00,124.00,124.00,0.00,C02,C02
007,76.00,76.00,76.00,0.00,C02,C02
008,124.00,124.00,,0.00,C02,C02
009,94.00,,94.00,0.00,C02,C02
010,199.00,,199.00,0.00,C02,C02
012,190.00,190.00,,0.00,C02,C02
013,160.00,160.00,160.00,0.00,C02,C02
